,region_description,data_item_description,sex_description,age_description,adjustment_type_description,observation_month,observation_value
0,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-01,410.5333443
1,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-02,415.2705834
2,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-03,402.9509611
3,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-04,387.415279
4,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-05,365.8852688
5,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-06,375.0216414
6,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-07,374.7261068
7,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-08,368.486762
8,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-09,339.2177655
9,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-10,337.4546209
10,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-11,344.2666901
11,Australia,Unemployed persons ('000),Males,15 and over,Original,2018-12,348.0500538
12,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-01,378.1626366
13,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-02,377.8331727
14,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-03,380.9337824
15,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-04,370.8162129
16,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-05,368.8305218
17,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-06,363.0138149
18,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-07,375.0363617
19,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-08,385.2138953
20,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-09,386.8513941
21,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-10,375.2914791
22,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-11,355.710385
23,Australia,Unemployed persons ('000),Males,15 and over,Original,2019-12,371.8231097
24,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-01,414.911878
25,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-02,406.0056854
26,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-03,401.6599436
27,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-04,464.0025413
28,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-05,482.5238118
29,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-06,513.558717
30,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-07,531.2725359
31,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-08,503.9235673
32,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-09,506.4730937
33,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-10,481.1894833
34,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-11,449.6502872
35,Australia,Unemployed persons ('000),Males,15 and over,Original,2020-12,476.7297624
36,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-01,381.0031755
37,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-02,385.7851527
38,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-03,384.8232201
39,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-04,392.5432264
40,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-05,379.1816952
41,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-06,388.0176362
42,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-07,375.8120071
43,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-08,368.1285735
44,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-09,340.9521464
45,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-10,351.7429374
46,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-11,364.6646735
47,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2018-12,352.2041854
48,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-01,350.8627531
49,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-02,351.8436797
50,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-03,363.5424032
51,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-04,375.4127959
52,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-05,382.8562849
53,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-06,376.4144611
54,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-07,376.0726418
55,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-08,384.2218445
56,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-09,387.7394756
57,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-10,391.7035472
58,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-11,376.4335526
59,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2019-12,376.0036991
60,Australia,Unemployed persons ('000),Males,15 and over,Seasonally Adjusted,2020-01,385.6694363
