,region_description,data_item_description,sex_description,age_description,adjustment_type_description,observation_month,observation_value
0,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-01,4.5477303
1,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-02,4.6069468
2,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-03,4.5136357
3,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-04,4.1855449
4,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-05,4.4639015
5,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-06,4.2470918
6,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-07,4.0973336
7,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-08,4.1965758
8,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-09,4.3054635
9,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-10,4.6987822
10,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-11,4.4721894
11,New South Wales,Unemployment rate (%),Males,15 and over,Original,2019-12,4.584207
12,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-01,5.1196691
13,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-02,4.8671534
14,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-03,5.4656221
15,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-04,6.221611
16,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-05,6.1632833
17,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-06,6.7312606
18,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-07,7.2739702
19,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-08,6.7454316
20,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-09,7.538955
21,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-10,7.0402768
22,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-11,6.1984332
23,New South Wales,Unemployment rate (%),Males,15 and over,Original,2020-12,6.6592532
24,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-01,4.1198262
25,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-02,4.3682519
26,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-03,4.3697445
27,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-04,4.2926168
28,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-05,4.4891645
29,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-06,4.3843016
30,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-07,4.1464094
31,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-08,4.191002
32,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-09,4.4656315
33,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-10,4.7801824
34,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-11,4.7004628
35,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-12,4.6676811
36,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-01,4.6509147
37,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-02,4.6012344
38,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-03,5.2930413
39,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-04,6.3647159
40,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-05,6.2007429
41,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-06,6.9480175
42,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-07,7.3498849
43,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-08,6.9143515
44,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-09,7.8302443
45,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-10,7.1457872
46,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-11,6.5133553
47,New South Wales,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-12,6.7689992
48,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-01,NaN
49,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-02,NaN
50,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-03,NaN
51,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-04,NaN
52,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-05,NaN
53,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-06,NaN
54,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-07,NaN
55,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-08,NaN
56,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-09,NaN
57,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-10,NaN
58,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-11,NaN
59,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2019-12,NaN
60,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-01,NaN
61,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-02,NaN
62,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-03,NaN
63,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-04,NaN
64,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-05,NaN
65,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-06,NaN
66,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-07,NaN
67,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-08,NaN
68,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-09,NaN
69,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-10,NaN
70,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-11,NaN
71,New South Wales,Unemployment rate (%),Males,15 and over,Trend,2020-12,NaN
72,New South Wales,Unemployment rate (%),Females,15 and over,Original,2019-01,3.93048
73,New South Wales,Unemployment rate (%),Females,15 and over,Original,2019-02,4.6784725
