,region_description,data_item_description,sex_description,age_description,adjustment_type_description,observation_month,observation_value
0,Australia,Unemployment rate (%),Males,15 and over,Original,2018-01,5.8914575
1,Australia,Unemployment rate (%),Males,15 and over,Original,2018-02,5.8682949
2,Australia,Unemployment rate (%),Males,15 and over,Original,2018-03,5.7280693
3,Australia,Unemployment rate (%),Males,15 and over,Original,2018-04,5.5032532
4,Australia,Unemployment rate (%),Males,15 and over,Original,2018-05,5.2036866
5,Australia,Unemployment rate (%),Males,15 and over,Original,2018-06,5.3224227
6,Australia,Unemployment rate (%),Males,15 and over,Original,2018-07,5.3110662
7,Australia,Unemployment rate (%),Males,15 and over,Original,2018-08,5.2359678
8,Australia,Unemployment rate (%),Males,15 and over,Original,2018-09,4.8164909
9,Australia,Unemployment rate (%),Males,15 and over,Original,2018-10,4.7850506
10,Australia,Unemployment rate (%),Males,15 and over,Original,2018-11,4.8530436
11,Australia,Unemployment rate (%),Males,15 and over,Original,2018-12,4.8639039
12,Australia,Unemployment rate (%),Males,15 and over,Original,2019-01,5.331432
13,Australia,Unemployment rate (%),Males,15 and over,Original,2019-02,5.2700483
14,Australia,Unemployment rate (%),Males,15 and over,Original,2019-03,5.3128126
15,Australia,Unemployment rate (%),Males,15 and over,Original,2019-04,5.1777032
16,Australia,Unemployment rate (%),Males,15 and over,Original,2019-05,5.1027087
17,Australia,Unemployment rate (%),Males,15 and over,Original,2019-06,5.0442512
18,Australia,Unemployment rate (%),Males,15 and over,Original,2019-07,5.2058217
19,Australia,Unemployment rate (%),Males,15 and over,Original,2019-08,5.3645705
20,Australia,Unemployment rate (%),Males,15 and over,Original,2019-09,5.3722145
21,Australia,Unemployment rate (%),Males,15 and over,Original,2019-10,5.2346194
22,Australia,Unemployment rate (%),Males,15 and over,Original,2019-11,4.9422714
23,Australia,Unemployment rate (%),Males,15 and over,Original,2019-12,5.1221102
24,Australia,Unemployment rate (%),Males,15 and over,Original,2020-01,5.7799535
25,Australia,Unemployment rate (%),Males,15 and over,Original,2020-02,5.5751774
26,Australia,Unemployment rate (%),Males,15 and over,Original,2020-03,5.5334444
27,Australia,Unemployment rate (%),Males,15 and over,Original,2020-04,6.5863271
28,Australia,Unemployment rate (%),Males,15 and over,Original,2020-05,6.9327189
29,Australia,Unemployment rate (%),Males,15 and over,Original,2020-06,7.2659339
30,Australia,Unemployment rate (%),Males,15 and over,Original,2020-07,7.4563939
31,Australia,Unemployment rate (%),Males,15 and over,Original,2020-08,7.0791994
32,Australia,Unemployment rate (%),Males,15 and over,Original,2020-09,7.1123649
33,Australia,Unemployment rate (%),Males,15 and over,Original,2020-10,6.6745759
34,Australia,Unemployment rate (%),Males,15 and over,Original,2020-11,6.2002822
35,Australia,Unemployment rate (%),Males,15 and over,Original,2020-12,6.5195664
36,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-01,5.4261773
37,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-02,5.5029025
38,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-03,5.4896702
39,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-04,5.5852099
40,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-05,5.408063
41,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-06,5.5106818
42,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-07,5.3304754
43,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-08,5.2025094
44,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-09,4.8321972
45,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-10,4.9707687
46,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-11,5.134056
47,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2018-12,4.9522846
48,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-01,4.9280885
49,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-02,4.9513109
50,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-03,5.0881428
51,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-04,5.250262
52,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-05,5.3125777
53,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-06,5.2349942
54,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-07,5.2243948
55,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-08,5.3237174
56,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-09,5.3771051
57,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-10,5.4430369
58,Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-11,5.2247253
